"Name","Date","Tournament","Division","TotalDivs","Placement","Players","Wins","Margin","GamesFirst","GamesLast","Rating","Norm"
"Ricky Purnomo",2007-12-16,"Jurong Green CC mini tournament","2",3,"1",6,"6",554,"820",827,1806,""
"Ricky Purnomo",2008-03-16,"6th Lim Boon Heng Cup","1",3,"9",12,"7",-298,"828",843,1800,""
"Ricky Purnomo",2008-07-20,"Singapore National Scrabble Championship 2008","1",3,"12",24,"8",-359,"844",859,1795,""
"Ricky Purnomo",2008-09-28,"Grandeur 8 mini tournament","1",1,"16",18,"3",200,"860",869,1751,""
"Ricky Purnomo",2009-02-15,"Jurong Green CC mini tournament","1",2,"4",8,"5",35,"870",877,1804,""
"Ricky Purnomo",2009-03-01,"10th SA Millennium Cup","1",2,"6",10,"9",-81,"878",895,1813,""
"Ricky Purnomo",2009-03-22,"7th Lim Boon Heng Cup","1",3,"5",16,"11",245,"896",911,1866,""
"Ricky Purnomo",2009-05-17,"Jurong Green CC mini tournament","1",2,"1",10,"8",616,"912",920,1915,""
"Ricky Purnomo",2009-05-31,"12th Singapore Open Scrabble Championship","1",3,"4",18,"10",400,"921",936,1934,""
"Ricky Purnomo",2009-08-16,"Jurong Green CC mini tournament","1",3,"4",9,"5",177,"937",944,1937,""
"Ricky Purnomo",2009-11-22,"Yew Tee Scrabble Open Championship 2009","1",3,"3",20,"11",106,"945",960,1980,""
"Ricky Purnomo",2010-01-24,"11th SA Millennium Cup","1",2,"1",10,"14",659,"961",978,2017,""
"Ricky Purnomo",2010-03-07,"8th Lim Boon Heng Cup","1",3,"11",14,"7",-271,"979",994,1973,""
"Ricky Purnomo",2010-07-18,"Singapore National Scrabble Championship 2010","1",3,"2",16,"11",694,"995",1010,1980,""
"Ricky Purnomo",2010-10-23,"Grandeur 8 mini tournament","1",2,"8",10,"4",44,"1011",1020,1949,""
"Ricky Purnomo",2010-11-21,"Yew Tee Scrabble Open Championship 2010","1",2,"3",26,"11",483,"1021",1037,1936,""
"Ricky Purnomo",2011-01-23,"12th SA Millennium Cup","1",3,"7",12,"10",166,"1038",1057,1915,""
"Ricky Purnomo",2011-03-13,"9th Lim Boon Heng Cup","1",3,"5",18,"9",505,"1058",1073,1898,""
"Ricky Purnomo",2011-04-16,"Survivors Only Scrabblathon (SOS)","1",1,"3",22,"8",616,"1074",1085,1897,""
"Ricky Purnomo",2011-05-15,"Jurong Green CC mini tournament","1",3,"1",10,"8",639,"1086",1094,1965,""
"Ricky Purnomo",2011-07-24,"Singapore National Scrabble Championship 2011","1",3,"2",14,"12.5",875,"1095",1110,1996,""
"Ricky Purnomo",2011-11-27,"14th Singapore Open Scrabble Championship","1",4,"7",30,"9.5",-23,"1111",1126,1977,""
"Ricky Purnomo",2012-01-15,"13th SA Millennium Cup","1",2,"1",12,"16",653,"1127",1146,2020,""
"Ricky Purnomo",2012-03-18,"Jurong Green CC Scrabble Open Championship 2012","1",3,"3",14,"10",69,"1147",1162,2006,""
"Ricky Purnomo",2012-07-22,"Singapore National Scrabble Championship 2012","1",3,"8",18,"9",-7,"1163",1178,1982,""
"Ricky Purnomo",2012-09-08,"Grandeur 8 mini tournament","1",2,"3",12,"6",527,"1179",1188,1981,""
"Ricky Purnomo",2012-11-18,"15th Singapore Open Scrabble Championship","1",2,"6",28,"10",182,"1189",1204,1987,""
"Ricky Purnomo",2013-01-13,"14th SA Millennium Cup","1",2,"7",10,"8.5",-296,"1205",1222,1956,""
"Ricky Purnomo",2013-03-17,"NTU WGS Scrabble Mini 2013","1",2,"3",10,"5",220,"1223",1231,1956,""
"Ricky Purnomo",2013-04-07,"Jurong Green CC Scrabble Open Championship 2013","1",2,"9",18,"8",362,"1232",1247,1913,""
"Ricky Purnomo",2013-07-28,"Singapore National Scrabble Championship 2013","1",3,"9",18,"9",252,"1248",1265,1884,""
"Ricky Purnomo",2013-09-08,"Grandeur 8 mini tournament","1",2,"5",12,"5",343,"1266",1276,1885,""
"Ricky Purnomo",2013-12-14,"WYSC Scrabble Benefit Tournament","1",2,"4",10,"5",240,"1277",1284,1873,""
"Ricky Purnomo",2014-03-30,"Jurong Green CC Scrabble Open Championship 2014","1",3,"6",14,"9",109,"1285",1300,1878,""
