"bingo","score","player","round","phoney","length","probability","playability"
"EPACRIS",89,"Tan Jin Chor",2,FALSE,7,5676,12219
"ENMOVING",76,"Tan Jin Chor",2,FALSE,8,17614,19252
"AEGIRITE",74,"William Kang",2,FALSE,8,395,28
"EDIFIES",75,"William Kang",2,FALSE,7,9528,10254
"GOONIEST",68,"William Kang",2,FALSE,8,1230,1503
"STEMING",82,"Michael Tang",2,FALSE,7,6211,12364
"ETAERIOS",70,"Michael Tang",2,FALSE,8,17,3
"BAPTIST",78,"Nigel Richards",2,FALSE,7,21515,18172
"ECESISES",67,"Nigel Richards",2,FALSE,8,36378,34961
"eXTRaIT",73,"Wong Zhi Yuan",2,FALSE,7,5814,2610
"OREADES",82,"Wong Zhi Yuan",2,FALSE,7,373,94
"TEASLING",72,"Wong Zhi Yuan",2,TRUE,8,NA,NA
"OUTPRIZE",70,"Hubert Wee",2,FALSE,8,9845,9968
"RENAILED",70,"Hubert Wee",2,FALSE,8,136,23
"FRASCATI",95,"Hubert Wee",2,FALSE,8,15819,13621
"OVERTEEM",84,"Yeo Kian Hung",2,FALSE,8,13503,9376
"RUSHIEST",70,"Yeo Kian Hung",2,FALSE,8,15659,21021
"ENACTING",73,"Yeo Kian Hung",2,FALSE,8,5660,3153
"INCLOse",75,"Ricky Purnomo",3,FALSE,7,2598,2930
"ELEGIAST",75,"Nigel Richards",3,FALSE,8,896,2178
"STOMPER",68,"Vannitha Balasingam",3,FALSE,7,10653,18249
"BRAINIER",80,"Vannitha Balasingam",3,FALSE,8,4154,1324
"CAPOEIRA",64,"Vannitha Balasingam",3,FALSE,8,2894,1428
"RIALTOS",80,"Michael Tang",3,FALSE,7,585,4374
"LINTERS",73,"Shim Yen Nee",3,FALSE,7,563,177
"TURDIER",72,"Shim Yen Nee",3,TRUE,7,NA,NA
"LENITES",71,"Shim Yen Nee",3,FALSE,7,770,1142
"TREBLES",66,"Shim Yen Nee",3,FALSE,7,8774,9821
"ERASING",85,"William Kang",3,FALSE,7,338,1226
"FLEETING",72,"William Kang",3,FALSE,8,5939,2469
"TRINDLE",64,"Vinnith Ramamurti",3,FALSE,7,556,338
"COARSELY",92,"Vinnith Ramamurti",3,FALSE,8,8590,13689
"LITERATI",60,"Yong Jian Rong",3,FALSE,8,1380,75
"JAWLINES",79,"Yong Jian Rong",3,FALSE,8,12773,5009
"BIRIANIS",77,"Tony Sim",3,FALSE,8,16180,5657
"PAVONES",77,"Tony Sim",3,FALSE,7,6615,1515
"DEFLATED",67,"Tony Sim",3,FALSE,8,17459,16038
"SOOTING",80,"Alex Tan",3,FALSE,7,6511,5907
"THIONATE",77,"Marlon Prudencio",3,FALSE,8,954,538
"ONBEATS",90,"Marlon Prudencio",3,FALSE,7,1115,537
"NEPETAS",76,"Marlon Prudencio",3,FALSE,7,2899,5911
"ETAERIO",69,"Yeo Kian Hung",3,FALSE,7,3,1
"AVOIDER",95,"Yeo Kian Hung",3,FALSE,7,411,351
"EnFORCES",66,"Wong Zhi Yuan",3,FALSE,8,10251,10047
"HALOIDS",87,"Wong Zhi Yuan",3,FALSE,7,7454,6885
"SOLANINe",77,"Jocelyn Lor",3,FALSE,8,550,416
"VERNIERS",91,"Jocelyn Lor",3,FALSE,8,8246,4218
"SWAMPED",94,"Victor Gwee",3,FALSE,7,22896,24749
"INTUITED",80,"Victor Gwee",3,FALSE,8,5831,1847
"FOLIATES",62,"Aaron Chong",3,FALSE,8,691,1072
"UNEASIER",66,"Aaron Chong",3,FALSE,8,158,31
"CENTINEL",75,"Aaron Chong",3,FALSE,8,8189,2959
"BEATIER",67,"Martin Teo",3,FALSE,7,472,898
"TAILERON",68,"Martin Teo",3,FALSE,8,7,49
"AGENDAS",70,"Martin Teo",3,FALSE,7,5196,2825
"HIDEOUS",68,"Martin Teo",3,FALSE,7,4895,4978
"NOOKIER",76,"Hubert Wee",3,FALSE,7,3993,4330
"GAFfERS",74,"Tan Jin Chor",3,FALSE,7,25093,24682
"NETIZENS",69,"Tan Jin Chor",3,FALSE,8,13466,4384
"SNOWiER",84,"Tan Jin Chor",3,FALSE,7,1288,963
"PERIGONE",65,"Victor Chua",3,FALSE,8,1881,1148
"TWOONIE",73,"Vannitha Balasingam",4,FALSE,7,1739,317
"SARNIES",70,"Vannitha Balasingam",4,FALSE,7,1794,2028
"OVERLETS",76,"Vannitha Balasingam",4,FALSE,8,4807,5357
"RETILING",74,"Shim Yen Nee",4,FALSE,8,1977,2759
"LARGISH",87,"Hubert Wee",4,FALSE,7,12716,12744
"BETaINE",82,"Hubert Wee",4,FALSE,7,471,339
"ERRANTS",69,"Hubert Wee",4,FALSE,7,1749,362
"uRALITE",69,"Jocelyn Lor",4,FALSE,7,146,123
"ISATINS",85,"Marlon Prudencio",4,FALSE,7,10748,4857
"TOTALING",80,"Marlon Prudencio",4,FALSE,8,4337,2934
"SOREDIA",66,"Martin Teo",4,FALSE,7,48,119
"COLOURER",59,"Martin Teo",4,FALSE,8,18977,13036
"eROSELY",92,"Aaron Chong",4,FALSE,7,6296,4637
"ONYCHIA",89,"Aaron Chong",4,FALSE,7,15634,10844
"TERSIONS",59,"Aaron Chong",4,FALSE,8,1609,4496
"RIVERBED",84,"Ricky Purnomo",4,FALSE,8,19323,15400
"VAURIENS",158,"Nigel Richards",4,FALSE,8,1353,591
"AMELIAS",74,"Nigel Richards",4,FALSE,7,4593,4072
"GIGABYTE",76,"Nigel Richards",4,FALSE,8,24743,19524
"BUNDLED",70,"Michael Tang",4,FALSE,7,24235,22981
"DIVINES",70,"William Kang",4,FALSE,7,7951,5296
"AIERIES",63,"Victor Chua",4,FALSE,7,315,10
"HETAIRA",66,"Victor Chua",4,FALSE,7,1052,511
"PLASHES",74,"Wong Zhi Yuan",4,FALSE,7,25574,31408
"OUTGAIN",72,"Wong Zhi Yuan",4,FALSE,7,1078,1179
"NIFTiEST",97,"Wong Zhi Yuan",4,FALSE,8,11415,6412
"ESTRIDGE",83,"Wong Zhi Yuan",4,FALSE,8,2201,1381
"TIDESMAN",86,"Alex Tan",4,FALSE,8,1285,8010
"PREMISE",76,"Yeo Kian Hung",4,FALSE,7,10983,29302
"FURMENTy",71,"Yeo Kian Hung",4,FALSE,8,23649,26538
"GAVOTTE",61,"Yong Jian Rong",4,FALSE,7,8231,1485
"SAMARAS",72,"Tan Jin Chor",4,FALSE,7,29643,32685
"FAVOrERS",84,"Tan Jin Chor",4,FALSE,8,14319,10721
"ElEVATED",63,"Victor Gwee",4,FALSE,8,9902,3428
"SLANDER",77,"Tony Sim",4,FALSE,7,1462,7092
"RUbELLA",71,"Tony Sim",4,FALSE,7,16782,23364
"MISWEnT",103,"Tony Sim",4,FALSE,7,9362,5968
"NURDIER",75,"Vinnith Ramamurti",4,FALSE,7,3732,3677
"POVERTY",75,"Vinnith Ramamurti",4,FALSE,7,16677,10771
"DIOXINS",76,"Vannitha Balasingam",5,FALSE,7,17140,7245
"ALTERITY",70,"Vannitha Balasingam",5,FALSE,8,3724,2720
"GRUNGIER",79,"Vannitha Balasingam",5,FALSE,8,21444,17387
"BETIDES",74,"Nigel Richards",5,FALSE,7,5379,3627
"CANASTER",87,"Nigel Richards",5,FALSE,8,3387,6374
"TOISECHS",75,"Nigel Richards",5,FALSE,8,19632,23086
"REURGED",72,"Shim Yen Nee",5,FALSE,7,14842,13101
"YIPPIES",83,"Tan Jin Chor",5,FALSE,7,29476,24914
"ROILIER",77,"Tony Sim",5,FALSE,7,2773,453
"ANLAGEN",69,"Vinnith Ramamurti",5,FALSE,7,9938,4654
"LEISTER",71,"Vinnith Ramamurti",5,FALSE,7,774,759
"REMOVAL",73,"Vinnith Ramamurti",5,FALSE,7,6605,4989
"TZIGANES",78,"Vinnith Ramamurti",5,FALSE,8,5490,5064
"ANECDOTA",66,"Wong Zhi Yuan",5,FALSE,8,2116,559
"INFARES",80,"Wong Zhi Yuan",5,FALSE,7,834,1446
"ASTHENIA",72,"Hubert Wee",5,FALSE,8,1515,860
"OUTSAID",76,"Alex Tan",5,FALSE,7,1509,973
"bADIOUS",76,"Alex Tan",5,FALSE,7,7453,6678
"TACRINE",80,"Martin Teo",5,FALSE,7,286,2094
"RETAILOR",68,"Martin Teo",5,FALSE,8,176,34
"CETANES",80,"Victor Gwee",5,FALSE,7,2834,3607
"OUTSIDER",73,"Michael Tang",5,FALSE,8,423,3257
"DURATION",68,"Michael Tang",5,FALSE,8,356,421
"PELTERS",90,"Michael Tang",5,FALSE,7,8826,16200
"NONELITE",66,"Aaron Chong",5,FALSE,8,918,110
"MOUTANS",77,"Aaron Chong",5,FALSE,7,7667,19639
"SALTATED",66,"Marlon Prudencio",5,FALSE,8,9479,4898
"COVETING",80,"Marlon Prudencio",5,FALSE,8,7168,3743
"HEXaNEs",81,"Yeo Kian Hung",5,FALSE,7,15720,9411
"SEAWIFE",82,"Yeo Kian Hung",5,FALSE,7,6868,2469
"PLATINISE",75,"Ricky Purnomo",5,FALSE,9,1864,3018
"UNRULIER",66,"Yong Jian Rong",5,FALSE,8,14732,4199
"CLITORIS",78,"Yong Jian Rong",5,FALSE,8,10420,13542
"ROADMEN",83,"William Kang",5,FALSE,7,1142,12309
"REALTORS",68,"William Kang",5,FALSE,8,1435,4185
"DOVEKIES",107,"Hubert Wee",6,FALSE,8,15555,10897
"ABOMASAL",64,"Hubert Wee",6,FALSE,8,31684,27507
"RACLOIRS",72,"Hubert Wee",6,FALSE,8,10815,5682
"UREMIAS",68,"Jocelyn Lor",6,FALSE,7,2018,1613
"JOINTER",76,"Victor Gwee",6,FALSE,7,1437,1529
"UNIFIeRS",149,"Ricky Purnomo",6,FALSE,8,6337,3155
"CINEASTE",72,"Ricky Purnomo",6,FALSE,8,796,194
"ENFOLdER",86,"Tan Jin Chor",6,FALSE,8,4775,6349
"PAYOLAS",81,"Aaron Chong",6,FALSE,7,21974,17291
"PARTITE",76,"Aaron Chong",6,FALSE,7,2758,1651
"SIDELINE",59,"Shim Yen Nee",6,FALSE,8,3145,1018
"DISPOSE",86,"Shim Yen Nee",6,FALSE,7,13942,20915
"SPEAKER",84,"William Kang",6,FALSE,7,15729,26930
"COOEEING",80,"William Kang",6,FALSE,8,5342,1728
"STONIER",87,"Yeo Kian Hung",6,FALSE,7,64,340
"ARTICLE",71,"Yeo Kian Hung",6,FALSE,7,797,1382
"CREASES",83,"Michael Tang",6,FALSE,7,14516,19908
"SIMIOUS",72,"Marlon Prudencio",6,FALSE,7,24814,23234
"CHOIRING",106,"Nigel Richards",6,FALSE,8,20500,17239
"HAMULUS",79,"Nigel Richards",6,FALSE,7,30685,30679
"TILELIKE",76,"Nigel Richards",6,FALSE,8,23940,22116
"PERIDOT",72,"Victor Chua",6,FALSE,7,1236,6967
"LIGATED",71,"Yong Jian Rong",6,FALSE,7,955,4074
"VAREUSE",87,"Yong Jian Rong",6,FALSE,7,5376,3998
"SPONGIER",76,"Martin Teo",6,FALSE,8,2886,11368
"NARCIST",74,"Martin Teo",6,FALSE,7,3537,486
"SOLEREt",69,"Marlon Prudencio",7,FALSE,7,1088,156
"ANILINS",81,"Vinnith Ramamurti",7,FALSE,7,10459,4281
"CULLIES",100,"Nigel Richards",7,FALSE,7,20803,22076
"MEDIATOR",64,"Tony Sim",7,FALSE,8,253,303
"MATROnS",86,"Ricky Purnomo",7,FALSE,7,4446,6102
"DEFILInG",76,"Ricky Purnomo",7,FALSE,8,13055,16403
"ELUTORS",64,"Yong Jian Rong",7,FALSE,7,1711,5820
"RESORTING",70,"Yong Jian Rong",7,FALSE,9,1333,9875
"SERPIGO",78,"Vannitha Balasingam",7,FALSE,7,3922,7188
"GUARdERS",74,"Yeo Kian Hung",7,FALSE,8,11233,12020
"ANKLETS",77,"Yeo Kian Hung",7,FALSE,7,8017,16980
"HEIFERS",80,"Shim Yen Nee",7,FALSE,7,10957,9098
"READORNS",80,"Shim Yen Nee",7,FALSE,8,1430,2014
"INCAVING",93,"Alex Tan",7,FALSE,8,28841,16301
"SPIKIEST",92,"Alex Tan",7,FALSE,8,31929,33833
"OBLIGEE",80,"Alex Tan",7,FALSE,7,4936,1050
"UNITARDS",60,"Victor Gwee",7,FALSE,8,1653,1608
"METRICS",80,"Victor Chua",7,FALSE,7,9305,6250
"REWRITES",83,"Aaron Chong",7,FALSE,8,8254,7921
"SEAGOING",63,"Aaron Chong",7,FALSE,8,4349,3961
"MINDSET",79,"Martin Teo",7,FALSE,7,4259,6398
"PERUSAL",73,"Martin Teo",7,FALSE,7,7356,15014
"LACTONES",66,"Michael Tang",7,FALSE,8,1687,2750
"BETRAYED",65,"William Kang",7,FALSE,8,9044,9786
"FILETING",63,"William Kang",7,FALSE,8,8904,5010
"RECUSES",76,"William Kang",7,FALSE,7,22087,31189
"PINTANO",67,"Hubert Wee",7,FALSE,7,5484,4818
"ROOTAGE",78,"Wong Zhi Yuan",7,FALSE,7,927,506
"CLINKED",70,"Wong Zhi Yuan",7,FALSE,7,18480,25158
"RETAXES",101,"Tan Jin Chor",7,FALSE,7,5921,4161
"ROOTIEST",62,"Tan Jin Chor",7,FALSE,8,2463,6085
"SECTATOR",80,"Hubert Wee",8,FALSE,8,4508,6431
"SOREDIUM",64,"Vannitha Balasingam",8,FALSE,8,3605,11816
"UNrOOTED",70,"Alex Tan",8,FALSE,8,1903,3236
"STUiVERS",73,"Alex Tan",8,FALSE,8,15676,13837
"DELOUSE",66,"William Kang",8,FALSE,7,4644,2615
"DOUSING",77,"William Kang",8,FALSE,7,7976,10752
"ELONGATE",68,"Marlon Prudencio",8,FALSE,8,431,39
"MESHING",82,"Victor Gwee",8,FALSE,7,16017,19394
"UNVEILER",72,"Victor Gwee",8,FALSE,8,4009,2243
"DOUANIER",61,"Vinnith Ramamurti",8,FALSE,8,23,19
"ENTHRALS",70,"Vinnith Ramamurti",8,FALSE,8,3022,2215
"DEVALUED",86,"Vinnith Ramamurti",8,FALSE,8,22097,11217
"INQILAB",98,"Aaron Chong",8,FALSE,7,21839,2329
"ATONIES",69,"Aaron Chong",8,FALSE,7,11,3
"UNSWORE",87,"Tony Sim",8,FALSE,7,5137,4410
"TOADIES",75,"Tony Sim",8,FALSE,7,50,169
"LOWERED",99,"Tony Sim",8,FALSE,7,6267,13365
"TINEIDS",70,"Nigel Richards",8,FALSE,7,1646,858
"ROYALET",72,"Nigel Richards",8,FALSE,7,1176,1569
"CREATIVE",64,"Nigel Richards",8,FALSE,8,2752,4860
"TSAREVNA",66,"Wong Zhi Yuan",8,FALSE,8,3398,2738
"RONIONS",65,"Michael Tang",8,FALSE,7,8954,4976
"HOPLITES",83,"Michael Tang",8,FALSE,8,8730,18661
"AIERIES",67,"Tan Jin Chor",8,FALSE,7,315,10
"BEIGNES",81,"Jocelyn Lor",8,FALSE,7,7525,6926
"THISTLE",85,"Martin Teo",8,FALSE,7,12396,16218
"OPTIONS",76,"Martin Teo",8,FALSE,7,9645,13953
"STOUNDED",66,"Martin Teo",8,FALSE,8,10343,11946
"RATANIES",65,"Shim Yen Nee",8,FALSE,8,110,1574
"MANTOES",69,"Yeo Kian Hung",8,FALSE,7,1182,1523
"WETSUIT",93,"Yeo Kian Hung",8,FALSE,7,12414,6094
"SCARFED",94,"Yeo Kian Hung",8,FALSE,7,13045,12135
"SEELING",72,"Yeo Kian Hung",8,FALSE,7,3204,2883
"ABORTION",66,"Victor Chua",8,FALSE,8,2232,3350
"NOTITIAE",66,"Victor Chua",8,FALSE,8,287,18
"STINGED",80,"Vannitha Balasingam",9,FALSE,7,2259,2887
"SWELTER",91,"Vannitha Balasingam",9,FALSE,7,8832,6667
"RECURSOR",61,"Victor Gwee",9,TRUE,8,NA,NA
"AWAITER",80,"Hubert Wee",9,FALSE,7,1059,181
"SIALONS",77,"Hubert Wee",9,FALSE,7,7102,14990
"SELFHOOD",92,"Hubert Wee",9,FALSE,8,24584,27180
"PERTUSE",72,"Michael Tang",9,FALSE,7,8839,8439
"ANNEALS",69,"Vinnith Ramamurti",9,FALSE,7,7599,2864
"COASTER",86,"Vinnith Ramamurti",9,FALSE,7,1137,2122
"VARIANTS",74,"Vinnith Ramamurti",9,FALSE,8,5646,2657
"pIANISm",91,"Tony Sim",9,FALSE,7,17222,22983
"MONERANS",64,"Martin Teo",9,FALSE,8,4528,8903
"ULNARIA",72,"Martin Teo",9,FALSE,7,3085,2597
"PETRONEL",64,"Nigel Richards",9,FALSE,8,2503,710
"ALGATES",88,"Nigel Richards",9,FALSE,7,5207,14707
"ANABIOSIS",66,"Nigel Richards",9,FALSE,9,17519,15037
"RETAILOR",77,"Ricky Purnomo",9,FALSE,8,176,34
"sOILiER",92,"Ricky Purnomo",9,FALSE,7,937,142
"ZLOTIES",90,"Victor Chua",9,FALSE,7,5578,5251
"TRIDUAN",76,"Victor Chua",9,FALSE,7,1303,2361
"ANIMATED",62,"Victor Chua",9,FALSE,8,1509,2413
"RELIANT",72,"Wong Zhi Yuan",9,FALSE,7,25,1436
"HIREAGES",140,"Wong Zhi Yuan",9,FALSE,8,2981,2428
"SARCODE",76,"Yeo Kian Hung",9,FALSE,7,2505,1948
"RETSINAs",74,"Yeo Kian Hung",9,FALSE,8,1204,9519
"SONANCE",84,"Alex Tan",9,FALSE,7,6003,6006
"MEIOSES",76,"Alex Tan",9,FALSE,7,11579,12142
"BERATES",80,"Yong Jian Rong",9,FALSE,7,2816,9922
"REPAINTS",68,"Nigel Richards",10,FALSE,8,541,5279
"AERATED",64,"Hubert Wee",10,FALSE,7,1022,420
"ANTERIOR",58,"Hubert Wee",10,FALSE,8,52,14
"ENABLED",79,"Yeo Kian Hung",10,FALSE,7,5244,6958
"INTERCUT",74,"Yeo Kian Hung",10,FALSE,8,6747,3360
"ABATERS",77,"Yeo Kian Hung",10,FALSE,7,4703,9018
"EVOCABLE",80,"Yeo Kian Hung",10,FALSE,8,17029,5467
"ACUMENS",86,"Wong Zhi Yuan",10,FALSE,7,13098,15310
"SENARII",70,"Wong Zhi Yuan",10,FALSE,7,167,17
"cONVICT",67,"Vannitha Balasingam",10,FALSE,7,27482,19252
"BIDDERs",66,"Vannitha Balasingam",10,FALSE,7,16933,13829
"CUSTARDS",74,"William Kang",10,FALSE,8,28032,21908
"DOWNIER",98,"William Kang",10,FALSE,7,1232,5419
"FADAISE",74,"Tony Sim",10,FALSE,7,4587,2290
"TORANAS",70,"Tony Sim",10,FALSE,7,1716,431
"TOWSIER",76,"Alex Tan",10,FALSE,7,1300,2834
"ARENITES",60,"Alex Tan",10,FALSE,8,41,555
"OXIDATE",87,"Alex Tan",10,FALSE,7,1399,660
"AMNESTIC",70,"Shim Yen Nee",10,FALSE,8,4234,11835
"MOTIVAtE",89,"Ricky Purnomo",10,FALSE,8,6036,3071
"VIOLENT",78,"Ricky Purnomo",10,FALSE,7,1263,1771
"EERIEST",68,"Martin Teo",10,FALSE,7,1632,155
"GERANIUM",72,"Martin Teo",10,FALSE,8,2349,2827
"RISKIEST",76,"Yong Jian Rong",10,FALSE,8,22425,26075
"REVALUED",72,"Yong Jian Rong",10,FALSE,8,6797,3516
"ORACIES",84,"Tan Jin Chor",10,FALSE,7,403,1706
"YAPSTER",93,"Tan Jin Chor",10,FALSE,7,9253,10101
"MRIDANGS",68,"Victor Chua",10,FALSE,8,11166,12092
"ENSHRINE",92,"Victor Chua",10,FALSE,8,8225,5341
"ISOMERE",76,"Victor Chua",10,FALSE,7,1619,1067
"ARIETTA",66,"Vinnith Ramamurti",10,FALSE,7,948,234
"TORULIN",61,"Vinnith Ramamurti",10,FALSE,7,1554,608
"SOLUTAL",72,"Aaron Chong",10,FALSE,7,15180,13831
"FERRIAGE",86,"Aaron Chong",10,FALSE,8,6711,4506
"TONNAGES",63,"Aaron Chong",10,FALSE,8,2532,4888
"REMANET",63,"Jocelyn Lor",10,FALSE,7,1384,1503
"RAINIEST",68,"Jocelyn Lor",10,FALSE,8,118,205
"WOODBINE",78,"Marlon Prudencio",11,FALSE,8,10590,6497
"REQUITE",104,"Marlon Prudencio",11,FALSE,7,5936,697
"JAGHIRS",105,"Marlon Prudencio",11,FALSE,7,23522,15522
"CONSTER",87,"Vannitha Balasingam",11,FALSE,7,2693,6554
"DEPOSITS",86,"Hubert Wee",11,FALSE,8,12413,26250
"LACTATE",70,"Hubert Wee",11,FALSE,7,13323,11357
"TENDRON",68,"Hubert Wee",11,FALSE,7,2338,3309
"SPITTED",76,"Nigel Richards",11,FALSE,7,12381,5346
"APTERIUM",80,"Nigel Richards",11,FALSE,8,4295,4431
"ETAERIO",70,"Nigel Richards",11,FALSE,7,3,1
"DILATER",66,"Nigel Richards",11,FALSE,7,102,892
"TENSING",77,"Yong Jian Rong",11,FALSE,7,5801,7522
"FINITES",80,"Wong Zhi Yuan",11,FALSE,7,4763,2878
"OUTSAIL",61,"Wong Zhi Yuan",11,FALSE,7,1511,775
"iNVeRTOR",70,"Wong Zhi Yuan",11,FALSE,8,2282,469
"PEDALOES",63,"Aaron Chong",11,FALSE,8,4664,10592
"BEATIEST",61,"Victor Gwee",11,FALSE,8,4695,6476
"BUSIEST",78,"Tony Sim",11,FALSE,7,16945,24615
"ENTERONS",90,"Tony Sim",11,FALSE,8,2217,1671
"STEARINE",77,"Yeo Kian Hung",11,FALSE,8,44,235
"LOUNGERS",86,"Michael Tang",11,FALSE,8,4090,5754
"DETRAINS",70,"Michael Tang",11,FALSE,8,81,483
"AURISTS",68,"Alex Tan",11,FALSE,7,9932,8569
"SLORMING",89,"Victor Chua",11,FALSE,8,12609,18726
"HARANGUE",74,"Victor Chua",11,FALSE,8,8880,6816
"HEMATIC",73,"Martin Teo",11,FALSE,7,11386,17862
"GROVETS",75,"Victor Chua",12,FALSE,7,7235,3864
"ODONATES",68,"Victor Chua",12,FALSE,8,763,237
"EGOITIES",70,"Alex Tan",12,FALSE,8,1355,181
"RETRIAL",64,"Alex Tan",12,FALSE,7,689,1932
"LEGHoRNS",65,"Vannitha Balasingam",12,FALSE,8,9410,5227
"ARCADING",91,"Vannitha Balasingam",12,FALSE,8,11954,12995
"SIRENiZE",102,"Vannitha Balasingam",12,FALSE,8,8449,8810
"QUOITER",84,"Martin Teo",12,FALSE,7,3048,572
"FLUTINA",67,"Martin Teo",12,FALSE,7,6471,6523
"FARDELS",82,"Wong Zhi Yuan",12,FALSE,7,7309,4977
"TRILLED",67,"Wong Zhi Yuan",12,FALSE,7,7077,4675
"GLUTEAL",72,"Yeo Kian Hung",12,FALSE,7,13468,13145
"ZONATED",102,"Hubert Wee",12,FALSE,7,3033,914
"INTEGER",80,"Hubert Wee",12,FALSE,7,596,1351
"EMBOWELS",84,"Aaron Chong",12,FALSE,8,26203,20434
"APERIENT",80,"Aaron Chong",12,FALSE,8,298,215
"FRETTING",64,"Yong Jian Rong",12,FALSE,8,9510,3051
"MINCERS",82,"Yong Jian Rong",12,FALSE,7,9301,6848
"ISATINE",70,"Nigel Richards",12,FALSE,7,168,14
"ANNULET",70,"Nigel Richards",12,FALSE,7,3706,2885
"DEAERATE",58,"Victor Gwee",12,FALSE,8,2740,271
"INBOXES",69,"Jocelyn Lor",12,FALSE,7,11440,12628
"ADDITION",60,"Jocelyn Lor",12,FALSE,8,6120,3189
"RECEIVES",80,"Tony Sim",12,FALSE,8,16575,17001
"AEROSTAT",79,"Tony Sim",12,FALSE,8,1887,1302
"ELUTING",68,"Michael Tang",12,FALSE,7,2269,1059
"NAUTILUS",68,"William Kang",12,FALSE,8,12131,8024
"ETALONS",80,"Vinnith Ramamurti",12,FALSE,7,194,219
"DEFIERS",78,"Vinnith Ramamurti",12,FALSE,7,5403,10033
"DILATES",65,"Shim Yen Nee",12,FALSE,7,533,793
"UNWEARY",130,"Shim Yen Nee",12,FALSE,7,9251,5393
"CONACRE",76,"Marlon Prudencio",12,FALSE,7,12221,16623
"FAWNIEST",67,"Marlon Prudencio",12,FALSE,8,4265,4413
"TODDLER",91,"Marlon Prudencio",12,FALSE,7,8071,6141
"WAYWODES",65,"Yong Jian Rong",13,FALSE,8,30791,27837
"PRONAOI",65,"Yong Jian Rong",13,FALSE,7,3245,2596
