Bingo,Score,Player,Round
OVERTEEM,84,Yeo Kian Hung,2
RUSHIEST,70,Yeo Kian Hung,2
ENACTING,73,Yeo Kian Hung,2
INCLOse,75,Ricky Purnomo,3
ELEGIAST,75,Nigel Richards,3
STOMPER,68,Vannitha Balasingam,3
BRAINIER,80,Vannitha Balasingam,3
CAPOEIRA,64,Vannitha Balasingam,3
RIALTOS,80,Michael Tang,3
LINTERS,73,Shim Yen Nee,3
TURDIER*,72,Shim Yen Nee,3
LENITES,71,Shim Yen Nee,3
TREBLES,66,Shim Yen Nee,3
ERASING,85,William Kang,3
FLEETING,72,William Kang,3
TRINDLE,64,Vinnith Ramamurti,3
COARSELY,92,Vinnith Ramamurti,3
LITERATI,60,Yong Jian Rong,3
JAWLINES,79,Yong Jian Rong,3
BIRIANIS,77,Tony Sim,3
PAVONES,77,Tony Sim,3
DEFLATED,67,Tony Sim,3
SOOTING,80,Alex Tan,3
THIONATE,77,Marlon Prudencio,3
ONBEATS,90,Marlon Prudencio,3
NEPETAS,76,Marlon Prudencio,3
ETAERIO,69,Yeo Kian Hung,3
AVOIDER,95,Yeo Kian Hung,3
EnFORCES,66,Wong Zhi Yuan,3
HALOIDS,87,Wong Zhi Yuan,3
SOLANINe,77,Jocelyn Lor,3
VERNIERS,91,Jocelyn Lor,3
SWAMPED,94,Victor Gwee,3
INTUITED,80,Victor Gwee,3
FOLIATES,62,Aaron Chong,3
UNEASIER,66,Aaron Chong,3
CENTINEL,75,Aaron Chong,3
BEATIER,67,Martin Teo,3
TAILERON,68,Martin Teo,3
AGENDAS,70,Martin Teo,3
HIDEOUS,68,Martin Teo,3
NOOKIER,76,Hubert Wee,3
GAFfERS,74,Tan Jin Chor,3
NETIZENS,69,Tan Jin Chor,3
SNOWiER,84,Tan Jin Chor,3
PERIGONE,65,Victor Chua,3
TWOONIE,73,Vannitha Balasingam,4
SARNIES,70,Vannitha Balasingam,4
OVERLETS,76,Vannitha Balasingam,4
RETILING,74,Shim Yen Nee,4
LARGISH,87,Hubert Wee,4
BETaINE,82,Hubert Wee,4
ERRANTS,69,Hubert Wee,4
uRALITE,69,Jocelyn Lor,4
ISATINS,85,Marlon Prudencio,4
TOTALING,80,Marlon Prudencio,4
SOREDIA,66,Martin Teo,4
COLOURER,59,Martin Teo,4
eROSELY,92,Aaron Chong,4
ONYCHIA,89,Aaron Chong,4
TERSIONS,59,Aaron Chong,4
RIVERBED,84,Ricky Purnomo,4
VAURIENS,158,Nigel Richards,4
AMELIAS,74,Nigel Richards,4
GIGABYTE,76,Nigel Richards,4
BUNDLED,70,Michael Tang,4
DIVINES,70,William Kang,4
AIERIES,63,Victor Chua,4
HETAIRA,66,Victor Chua,4
PLASHES,74,Wong Zhi Yuan,4
OUTGAIN,72,Wong Zhi Yuan,4
NIFTiEST,97,Wong Zhi Yuan,4
ESTRIDGE,83,Wong Zhi Yuan,4
TIDESMAN,86,Alex Tan,4
PREMISE,76,Yeo Kian Hung,4
FURMENTy,71,Yeo Kian Hung,4
GAVOTTE,61,Yong Jian Rong,4
SAMARAS,72,Tan Jin Chor,4
FAVOrERS,84,Tan Jin Chor,4
ElEVATED,63,Victor Gwee,4
SLANDER,77,Tony Sim,4
RUbELLA,71,Tony Sim,4
MISWEnT,103,Tony Sim,4
NURDIER,75,Vinnith Ramamurti,4
POVERTY,75,Vinnith Ramamurti,4
DIOXINS,76,Vannitha Balasingam,5
ALTERITY,70,Vannitha Balasingam,5
GRUNGIER,79,Vannitha Balasingam,5
BETIDES,74,Nigel Richards,5
CANASTER,87,Nigel Richards,5
TOISECHS,75,Nigel Richards,5
REURGED,72,Shim Yen Nee,5
YIPPIES,83,Tan Jin Chor,5
ROILIER,77,Tony Sim,5
ANLAGEN,69,Vinnith Ramamurti,5
LEISTER,71,Vinnith Ramamurti,5
REMOVAL,73,Vinnith Ramamurti,5
TZIGANES,78,Vinnith Ramamurti,5
ANECDOTA,66,Wong Zhi Yuan,5
INFARES,80,Wong Zhi Yuan,5
ASTHENIA,72,Hubert Wee,5
OUTSAID,76,Alex Tan,5
bADIOUS,76,Alex Tan,5
TACRINE,80,Martin Teo,5
RETAILOR,68,Martin Teo,5
CETANES,80,Victor Gwee,5
OUTSIDER,73,Michael Tang,5
DURATION,68,Michael Tang,5
PELTERS,90,Michael Tang,5
NONELITE,66,Aaron Chong,5
MOUTANS,77,Aaron Chong,5
SALTATED,66,Marlon Prudencio,5
COVETING,80,Marlon Prudencio,5
HEXaNEs,81,Yeo Kian Hung,5
SEAWIFE,82,Yeo Kian Hung,5
PLATINISE,75,Ricky Purnomo,5
UNRULIER,66,Yong Jian Rong,5
CLITORIS,78,Yong Jian Rong,5
ROADMEN,83,William Kang,5
REALTORS,68,William Kang,5
DOVEKIES,107,Hubert Wee,6
ABOMASAL,64,Hubert Wee,6
RACLOIRS,72,Hubert Wee,6
UREMIAS,68,Jocelyn Lor,6
JOINTER,76,Victor Gwee,6
UNIFIeRS,149,Ricky Purnomo,6
CINEASTE,72,Ricky Purnomo,6
ENFOLdER,86,Tan Jin Chor,6
PAYOLAS,81,Aaron Chong,6
PARTITE,76,Aaron Chong,6
SIDELINE,59,Shim Yen Nee,6
DISPOSE,86,Shim Yen Nee,6
SPEAKER,84,William Kang,6
COOEEING,80,William Kang,6
STONIER,87,Yeo Kian Hung,6
ARTICLE,71,Yeo Kian Hung,6
CREASES,83,Michael Tang,6
SIMIOUS,72,Marlon Prudencio,6
CHOIRING,106,Nigel Richards,6
HAMULUS,79,Nigel Richards,6
TILELIKE,76,Nigel Richards,6
PERIDOT,72,Victor Chua,6
LIGATED,71,Yong Jian Rong,6
VAREUSE,87,Yong Jian Rong,6
SPONGIER,76,Martin Teo,6
NARCIST,74,Martin Teo,6
SOLEREt,69,Marlon Prudencio,7
ANILINS,81,Vinnith Ramamurti,7
CULLIES,100,Nigel Richards,7
MEDIATOR,64,Tony Sim,7
MATROnS,86,Ricky Purnomo,7
DEFILInG,76,Ricky Purnomo,7
ELUTORS,64,Yong Jian Rong,7
RESORTING,70,Yong Jian Rong,7
SERPIGO,78,Vannitha Balasingam,7
GUARdERS,74,Yeo Kian Hung,7
ANKLETS,77,Yeo Kian Hung,7
HEIFERS,80,Shim Yen Nee,7
READORNS,80,Shim Yen Nee,7
INCAVING,93,Alex Tan,7
SPIKIEST,92,Alex Tan,7
OBLIGEE,80,Alex Tan,7
UNITARDS,60,Victor Gwee,7
METRICS,80,Victor Chua,7
REWRITES,83,Aaron Chong,7
SEAGOING,63,Aaron Chong,7
MINDSET,79,Martin Teo,7
PERUSAL,73,Martin Teo,7
LACTONES,66,Michael Tang,7
BETRAYED,65,William Kang,7
FILETING,63,William Kang,7
RECUSES,76,William Kang,7
PINTANO,67,Hubert Wee,7
ROOTAGE,78,Wong Zhi Yuan,7
CLINKED,70,Wong Zhi Yuan,7
RETAXES,101,Tan Jin Chor,7
ROOTIEST,62,Tan Jin Chor,7
SECTATOR,80,Hubert Wee,8
SOREDIUM,64,Vannitha Balasingam,8
UNrOOTED,70,Alex Tan,8
STUiVERS,73,Alex Tan,8
DELOUSE,66,William Kang,8
DOUSING,77,William Kang,8
ELONGATE,68,Marlon Prudencio,8
MESHING,82,Victor Gwee,8
UNVEILER,72,Victor Gwee,8
DOUANIER,61,Vinnith Ramamurti,8
ENTHRALS,70,Vinnith Ramamurti,8
DEVALUED,86,Vinnith Ramamurti,8
INQILAB,98,Aaron Chong,8
ATONIES,69,Aaron Chong,8
UNSWORE,87,Tony Sim,8
TOADIES,75,Tony Sim,8
LOWERED,99,Tony Sim,8
TINEIDS,70,Nigel Richards,8
ROYALET,72,Nigel Richards,8
CREATIVE,64,Nigel Richards,8
TSAREVNA,66,Wong Zhi Yuan,8
RONIONS,65,Michael Tang,8
HOPLITES,83,Michael Tang,8
AIERIES,67,Tan Jin Chor,8
BEIGNES,81,Jocelyn Lor,8
THISTLE,85,Martin Teo,8
OPTIONS,76,Martin Teo,8
STOUNDED,66,Martin Teo,8
RATANIES,65,Shim Yen Nee,8
MANTOES,69,Yeo Kian Hung,8
WETSUIT,93,Yeo Kian Hung,8
SCARFED,94,Yeo Kian Hung,8
SEELING,72,Yeo Kian Hung,8
ABORTION,66,Victor Chua,8
NOTITIAE,66,Victor Chua,8
STINGED,80,Vannitha Balasingam,9
SWELTER,91,Vannitha Balasingam,9
RECURSOR*,61,Victor Gwee,9
AWAITER,80,Hubert Wee,9
SIALONS,77,Hubert Wee,9
SELFHOOD,92,Hubert Wee,9
PERTUSE,72,Michael Tang,9
ANNEALS,69,Vinnith Ramamurti,9
COASTER,86,Vinnith Ramamurti,9
VARIANTS,74,Vinnith Ramamurti,9
pIANISm,91,Tony Sim,9
MONERANS,64,Martin Teo,9
ULNARIA,72,Martin Teo,9
PETRONEL,64,Nigel Richards,9
ALGATES,88,Nigel Richards,9
ANABIOSIS,66,Nigel Richards,9
RETAILOR,77,Ricky Purnomo,9
sOILiER,92,Ricky Purnomo,9
ZLOTIES,90,Victor Chua,9
TRIDUAN,76,Victor Chua,9
ANIMATED,62,Victor Chua,9
RELIANT,72,Wong Zhi Yuan,9
HIREAGES,140,Wong Zhi Yuan,9
SARCODE,76,Yeo Kian Hung,9
RETSINAs,74,Yeo Kian Hung,9
SONANCE,84,Alex Tan,9
MEIOSES,76,Alex Tan,9
BERATES,80,Yong Jian Rong,9
REPAINTS,68,Nigel Richards,10
AERATED,64,Hubert Wee,10
ANTERIOR,58,Hubert Wee,10
ENABLED,79,Yeo Kian Hung,10
INTERCUT,74,Yeo Kian Hung,10
ABATERS,77,Yeo Kian Hung,10
EVOCABLE,80,Yeo Kian Hung,10
ACUMENS,86,Wong Zhi Yuan,10
SENARII,70,Wong Zhi Yuan,10
cONVICT,67,Vannitha Balasingam,10
BIDDERs,66,Vannitha Balasingam,10
CUSTARDS,74,William Kang,10
DOWNIER,98,William Kang,10
FADAISE,74,Tony Sim,10
TORANAS,70,Tony Sim,10
TOWSIER,76,Alex Tan,10
ARENITES,60,Alex Tan,10
OXIDATE,87,Alex Tan,10
AMNESTIC,70,Shim Yen Nee,10
MOTIVAtE,89,Ricky Purnomo,10
VIOLENT,78,Ricky Purnomo,10
EERIEST,68,Martin Teo,10
GERANIUM,72,Martin Teo,10
RISKIEST,76,Yong Jian Rong,10
REVALUED,72,Yong Jian Rong,10
ORACIES,84,Tan Jin Chor,10
YAPSTER,93,Tan Jin Chor,10
MRIDANGS,68,Victor Chua,10
ENSHRINE,92,Victor Chua,10
ISOMERE,76,Victor Chua,10
ARIETTA,66,Vinnith Ramamurti,10
TORULIN,61,Vinnith Ramamurti,10
SOLUTAL,72,Aaron Chong,10
FERRIAGE,86,Aaron Chong,10
TONNAGES,63,Aaron Chong,10
REMANET,63,Jocelyn Lor,10
RAINIEST,68,Jocelyn Lor,10
WOODBINE,78,Marlon Prudencio,11
REQUITE,104,Marlon Prudencio,11
JAGHIRS,105,Marlon Prudencio,11
CONSTER,87,Vannitha Balasingam,11
DEPOSITS,86,Hubert Wee,11
LACTATE,70,Hubert Wee,11
TENDRON,68,Hubert Wee,11
SPITTED,76,Nigel Richards,11
APTERIUM,80,Nigel Richards,11
ETAERIO,70,Nigel Richards,11
DILATER,66,Nigel Richards,11
TENSING,77,Yong Jian Rong,11
FINITES,80,Wong Zhi Yuan,11
OUTSAIL,61,Wong Zhi Yuan,11
iNVeRTOR,70,Wong Zhi Yuan,11
PEDALOES,63,Aaron Chong,11
BEATIEST,61,Victor Gwee,11
BUSIEST,78,Tony Sim,11
ENTERONS,90,Tony Sim,11
STEARINE,77,Yeo Kian Hung,11
LOUNGERS,86,Michael Tang,11
DETRAINS,70,Michael Tang,11
AURISTS,68,Alex Tan,11
SLORMING,89,Victor Chua,11
HARANGUE,74,Victor Chua,11
HEMATIC,73,Martin Teo,11
GROVETS,75,Victor Chua,12
ODONATES,68,Victor Chua,12
EGOITIES,70,Alex Tan,12
RETRIAL,64,Alex Tan,12
LEGHoRNS,65,Vannitha Balasingam,12
ARCADING,91,Vannitha Balasingam,12
SIRENiZE,102,Vannitha Balasingam,12
QUOITER,84,Martin Teo,12
FLUTINA,67,Martin Teo,12
FARDELS,82,Wong Zhi Yuan,12
TRILLED,67,Wong Zhi Yuan,12
GLUTEAL,72,Yeo Kian Hung,12
ZONATED,102,Hubert Wee,12
INTEGER,80,Hubert Wee,12
EMBOWELS,84,Aaron Chong,12
APERIENT,80,Aaron Chong,12
FRETTING,64,Yong Jian Rong,12
MINCERS,82,Yong Jian Rong,12
ISATINE,70,Nigel Richards,12
ANNULET,70,Nigel Richards,12
DEAERATE,58,Victor Gwee,12
INBOXES,69,Jocelyn Lor,12
ADDITION,60,Jocelyn Lor,12
RECEIVES,80,Tony Sim,12
AEROSTAT,79,Tony Sim,12
ELUTING,68,Michael Tang,12
NAUTILUS,68,William Kang,12
ETALONS,80,Vinnith Ramamurti,12
DEFIERS,78,Vinnith Ramamurti,12
DILATES,65,Shim Yen Nee,12
UNWEARY,130,Shim Yen Nee,12
CONACRE,76,Marlon Prudencio,12
FAWNIEST,67,Marlon Prudencio,12
TODDLER,91,Marlon Prudencio,12
WAYWODES,65,Yong Jian Rong,13
PRONAOI,65,Yong Jian Rong,13
STRAFED,85,Yong Jian Rong,13
LONELIER,66,Vinnith Ramamurti,13
REALISTS,82,Vinnith Ramamurti,13
CONSENTS,68,Nigel Richards,13
MULTiPART,64,Nigel Richards,13
AEROBiA,68,Nigel Richards,13
ENDUROS,87,Ricky Purnomo,13
UNSENSED,127,Victor Gwee,13
LABOURED,77,Victor Gwee,13
ARTSIES,80,Aaron Chong,13
ORIENCY,98,Aaron Chong,13
DOLERITE,74,Hubert Wee,13
LARKIEST,101,Hubert Wee,13
RECRUIT,78,Hubert Wee,13
PARIANS,68,Martin Teo,13
EVASION,85,Martin Teo,13
AERATED,71,Jocelyn Lor,13
NAPOLEAN*,72,Jocelyn Lor,13
EROTICA,90,Jocelyn Lor,13
SUNDIAL,72,Wong Zhi Yuan,13
CLITTERS,70,Wong Zhi Yuan,13
BEWILDER,106,Marlon Prudencio,13
SUIVANTE,72,Marlon Prudencio,13
ODONTIST,74,Marlon Prudencio,13
RESIDUA,76,Yeo Kian Hung,13
SAVORERS,72,William Kang,13
STONIED,68,William Kang,13
COUNSEL,77,Michael Tang,13
LINTERS,68,Michael Tang,13
RIBSTONE,77,Michael Tang,13
AVULSION,83,Vannitha Balasingam,13
PETALOID,73,Vannitha Balasingam,13
ATROPINE,70,Tony Sim,13
RESILES,84,Tony Sim,13
YEARNER,79,Alex Tan,13
GOATIEST,74,Alex Tan,13
NEATEST,75,Alex Tan,13
CARGOING,92,Victor Chua,13
ROTULAE,78,Victor Chua,13
IRISATE,61,Tan Jin Chor,13
CHAUNTS,85,Tan Jin Chor,13
LAITIES,65,Hubert Wee,14
OVERLIT,69,Jocelyn Lor,14
HERMITS,95,Jocelyn Lor,14
EXERTED,96,Marlon Prudencio,14
AVENTURE,88,Marlon Prudencio,14
LEVITATE,90,Marlon Prudencio,14
RINDIEST,83,Marlon Prudencio,14
DENARIUS,69,Martin Teo,14
MONITION,77,Tony Sim,14
PIROGIES,67,Tony Sim,14
ENGRAINS,68,Tony Sim,14
CATTIER,78,Vinnith Ramamurti,14
SETLINE,72,Vinnith Ramamurti,14
REDISTIL,82,Wong Zhi Yuan,14
VIRTUAL,74,Wong Zhi Yuan,14
NUDISMS,82,Alex Tan,14
EFFRONT*,82,Victor Gwee,14
SPONGER,73,Tan Jin Chor,14
MONIKEr,77,Aaron Chong,14
LOOPIER,66,Aaron Chong,14
TENEBRAE,74,Aaron Chong,14
STYRAxES,88,Aaron Chong,14
TOROIDAL,68,Ricky Purnomo,14
SERFDOM,96,Nigel Richards,14
ACCOAST,92,Nigel Richards,14
INVADER,85,Nigel Richards,14
VILLAGES,82,Michael Tang,14
MEATIER,70,Michael Tang,14
TRIAZINE,69,Michael Tang,14
TOUTING,68,Victor Chua,14
REHEATED,74,Victor Chua,14
CONFIRMS,83,Victor Chua,14
FEARSOME,76,Victor Chua,14
MALWARE,75,William Kang,14
PARTING,83,William Kang,14
BHEeSTY,99,Yeo Kian Hung,14
ANOESIS,73,Yong Jian Rong,14
ETESIAN,71,Yong Jian Rong,14
VOGIEST,81,Yong Jian Rong,14
ABOLISH,80,Shim Yen Nee,14
NEOLOGY,103,Shim Yen Nee,14
TAINTURE,68,Vannitha Balasingam,14
HAVENING,93,Vannitha Balasingam,14
FURORES,82,Vannitha Balasingam,14
rANSELS,69,Wong Zhi Yuan,15
OVERTAME,92,Wong Zhi Yuan,15
iNCLOSED,66,Vinnith Ramamurti,15
STRIDES,77,Vinnith Ramamurti,15
RECENTLY,92,Michael Tang,15
GENNIES,70,Aaron Chong,15
UNCHOSEN,76,Aaron Chong,15
RUBAIYAT,181,Vannitha Balasingam,15
ACHIEVE,80,Vannitha Balasingam,15
MESTIZOS,77,Vannitha Balasingam,15
TuKTOOS,88,Vannitha Balasingam,15
TOWERING,89,Vannitha Balasingam,15
REUNITE,83,Alex Tan,15
SCARVES,66,Alex Tan,15
GALLIsED,75,Hubert Wee,15
NONSENSE,60,Hubert Wee,15
ENDRINS,68,Yong Jian Rong,15
OUTLEaRN,68,William Kang,15
DEVOTES,77,Martin Teo,15
ETAMiNS,99,Martin Teo,15
MORPHING,88,Martin Teo,15
PISTILs,68,Victor Gwee,15
SOUTANE,89,Jocelyn Lor,15
HALOIDS,76,Jocelyn Lor,15
GRITTIER,70,Jocelyn Lor,15
REGAINED,60,Marlon Prudencio,15
SLEEPERS,90,Tony Sim,15
GRITTIER,72,Tony Sim,15
EMPIRIC,83,Tan Jin Chor,15
ROBOTIZE,101,Shim Yen Nee,15
STAYNES,83,Shim Yen Nee,15
NEGROES,69,Nigel Richards,15
OLIVInE,69,Yeo Kian Hung,15
CROONERS,72,Yeo Kian Hung,15
TAVERNS,79,Yeo Kian Hung,15
ORARIAN,69,Ricky Purnomo,15
LANGUETS,83,Ricky Purnomo,15
ROUNdER,69,Shim Yen Nee,16
STIMULi,65,Aaron Chong,16
VIRETOTS,74,Ricky Purnomo,16
AIRPOrT,82,Ricky Purnomo,16
TReNISE,79,Tan Jin Chor,16
LINTELS,78,Hubert Wee,16
ReVALUE,78,Hubert Wee,16
lEGATEE,77,Vinnith Ramamurti,16
BALLERS,69,Jocelyn Lor,16
ISATINE,66,Jocelyn Lor,16
SODAINE,86,Jocelyn Lor,16
CATALOGS,76,Yong Jian Rong,16
HOAGIES,87,Yong Jian Rong,16
AnURETIC,70,Martin Teo,16
FLAPpIER,86,Martin Teo,16
SORRELS,72,Martin Teo,16
RATLINS,73,Marlon Prudencio,16
ELYTrOID,74,Marlon Prudencio,16
DEnUDATE,88,Marlon Prudencio,16
ROSINATE,59,Marlon Prudencio,16
ETCHING,77,William Kang,16
OUTROWS,82,William Kang,16
FORELAY,87,Wong Zhi Yuan,16
OUThOMER,72,Yeo Kian Hung,16
UnLISTED,66,Yeo Kian Hung,16
URINOSE,74,Yeo Kian Hung,16
SERRANO,84,Michael Tang,16
STAMINAL,68,Nigel Richards,16
RESINED,84,Nigel Richards,16
FLUORIDE,71,Nigel Richards,16
CODEINAS,76,Victor Chua,16
IRONIST,71,Victor Chua,16
PUSHIEST,65,Vannitha Balasingam,16
AGNISES,75,Vannitha Balasingam,16
ARRIDES,69,Tony Sim,16
UNWRoTE,66,Ricky Purnomo,17
SINUOSE,69,Ricky Purnomo,17
CAlIGOS,71,Ricky Purnomo,17
TUbULOSE,64,Yeo Kian Hung,17
SALARIED,61,Shim Yen Nee,17
SNIRTLE,65,Shim Yen Nee,17
OREADEs,69,Victor Chua,17
NOtAIRES,74,Victor Chua,17
RADICATE,72,Victor Chua,17
WANKIEST,76,Aaron Chong,17
ELUSIVE,84,Alex Tan,17
TOOTLED,92,Alex Tan,17
ALIENATE,61,Alex Tan,17
PLANCHE,84,Victor Gwee,17
DETOXING,69,William Kang,17
SEVENTY,80,Hubert Wee,17
STOITER,66,Marlon Prudencio,17
UNDEFIED,67,Marlon Prudencio,17
THAWERS,86,Marlon Prudencio,17
ELOINED,71,Vinnith Ramamurti,17
DESEXED,83,Nigel Richards,17
POCKIER,121,Nigel Richards,17
TABOURIN,73,Nigel Richards,17
WEAVERS,80,Tony Sim,17
REBAITED,61,Wong Zhi Yuan,17
ERRHINES,86,Tan Jin Chor,17
COPIERS,67,Martin Teo,17
cELESTE,70,Martin Teo,17
RADIANS,69,Michael Tang,17
EARRINGS,61,Vannitha Balasingam,17
BOINKED,87,Vannitha Balasingam,17
TABORING,85,Vannitha Balasingam,17
MARINATE,68,Michael Tang,18
PRECISER,74,Michael Tang,18
GOVERNS,81,Tan Jin Chor,18
TURNING,61,Tan Jin Chor,18
COWIEST,80,Shim Yen Nee,18
REPANEL,65,Shim Yen Nee,18
RETICULE,64,Martin Teo,18
DEVASTATED,95,Martin Teo,18
RETICIDE*,67,Marlon Prudencio,18
TREENAIL,68,Marlon Prudencio,18
INSULANT,77,Marlon Prudencio,18
SOLERET,70,William Kang,18
ANGRIER,78,William Kang,18
SPANNED,78,Wong Zhi Yuan,18
ARMLOADS,77,Wong Zhi Yuan,18
ORNATER,70,Yong Jian Rong,18
NITTIEST,62,Yong Jian Rong,18
SULTANS,81,Jocelyn Lor,18
REBASES*,74,Victor Gwee,18
INTERNED,68,Victor Gwee,18
DEASOIL,81,Victor Gwee,18
OTALGIA,75,Vinnith Ramamurti,18
STRAINT,80,Aaron Chong,18
BOOZIER,64,Aaron Chong,18
TRAYNED,85,Aaron Chong,18
AGEUSIA,66,Tony Sim,18
RAPTURE,72,Tony Sim,18
WINTLES,84,Victor Chua,18
AGENISED,82,Victor Chua,18
RUINATES,66,Victor Chua,18
ENDGAME,70,Victor Chua,18
ENDARTS,74,Yeo Kian Hung,18
VIOLATES,62,Hubert Wee,18
VARIEDLY,84,Hubert Wee,18
SIENITE,74,Vannitha Balasingam,18
PRISTANE,80,Vannitha Balasingam,18
ENTOTIC,74,Ricky Purnomo,18
fRAILTEE,74,Ricky Purnomo,18
UNBROiLED,83,Alex Tan,18
DISTANT,80,Victor Gwee,19
SCAMMED,73,Victor Gwee,19
LEVIRATE,76,Vannitha Balasingam,19
DIOXANES,82,Alex Tan,19
CRUMPING,91,Alex Tan,19
SHIVERER,87,Alex Tan,19
ERGATES,75,Yong Jian Rong,19
TETANOID,60,Yong Jian Rong,19
STRIATA,69,Yong Jian Rong,19
GULLETS,80,Hubert Wee,19
CABRIES,83,Aaron Chong,19
TINGLER,68,Aaron Chong,19
ENsHIELD,87,Tan Jin Chor,19
STINGIER,63,Tan Jin Chor,19
AVERRING,71,Shim Yen Nee,19
SEAMIER,70,Shim Yen Nee,19
SCORIaE,73,Shim Yen Nee,19
BUNTERS,97,Ricky Purnomo,19
LEAVIESt,95,Ricky Purnomo,19
SOuTANE,72,William Kang,19
LITERARY,62,William Kang,19
SpARRED,78,Vinnith Ramamurti,19
AVIATION,90,Michael Tang,19
UNLINES,61,Michael Tang,19
TAEDIUm,68,Martin Teo,19
STATICS,72,Martin Teo,19
REGGAES,81,Martin Teo,19
DILaTED,77,Yeo Kian Hung,19
NEINEIS,84,Yeo Kian Hung,19
SONATINE,68,Wong Zhi Yuan,19
DROOLINg,60,Wong Zhi Yuan,19
REGLAZED,123,Jocelyn Lor,19
SOOTIER,89,Jocelyn Lor,19
MEDUSAS,80,Victor Chua,19
IDEALIST,70,Victor Chua,19
TENOURS,67,Victor Chua,19
BANDEROL,76,Nigel Richards,19
UNHELES,71,Nigel Richards,19
AUSTERE,73,Nigel Richards,19
EMIGRANT,78,Marlon Prudencio,19
DANGLED,74,Ricky Purnomo,20
SAURIAN,77,Ricky Purnomo,20
FANATiCs,94,Martin Teo,20
MOIETIES,61,Martin Teo,20
AUNTIES,69,Alex Tan,20
IRONICAL,74,Alex Tan,20
ROYALISE,72,Alex Tan,20
ENTRAINS,77,Alex Tan,20
OTTERING,61,Shim Yen Nee,20
SUDATES,70,Shim Yen Nee,20
SODAINE,76,Tan Jin Chor,20
FERMIOn,80,Yong Jian Rong,20
GOAnNAS,67,Yong Jian Rong,20
OVERLIE,68,Tony Sim,20
AQUIFERS,90,William Kang,20
TRIBALS,80,Victor Chua,20
WEAKEST,67,Vinnith Ramamurti,20
LORDING,73,Aaron Chong,20
ALSOONE,68,Aaron Chong,20
CEROONS,81,Nigel Richards,20
FATIGATE,64,Nigel Richards,20
STEELIER,78,Nigel Richards,20
EBONICS,106,Nigel Richards,20
MILLAGE,70,Nigel Richards,20
HIDALGO,82,Hubert Wee,20
PRoCURED,74,Hubert Wee,20
UNMOVING,65,Hubert Wee,20
INFLATED,66,Michael Tang,20
TOLUENES,74,Michael Tang,20
CANTLES,77,Jocelyn Lor,20
RESCALED,71,Victor Gwee,20
SWEETING,83,Victor Gwee,20
MORAINE,65,Yeo Kian Hung,20
GIRTHED,68,Yeo Kian Hung,20
SIEVERT,87,Wong Zhi Yuan,20
LOGICISE,76,Wong Zhi Yuan,20
DIETINE,66,Vannitha Balasingam,20
