Round,Player,Blank,J,Q,X,Z,S,Overtime,Minute,Second
3,Michael Tang,1,0,1,0,1,2,N,1,30
3,Cheah Siu Hean,1,1,0,1,0,2,N,13,2
3,Shim Yen Nee,0,1,0,1,0,4,N,4,30
3,Lim Li Wei,2,0,1,0,1,0,Y,2,39
3,Marlon Prudencio,1,0,0,0,1,2,N,0,17
3,Tay Jing En,1,1,1,1,0,2,N,8,53
3,Hubert Wee,0,1,0,1,1,2,,,
3,Lee Guan Hui,2,0,1,0,0,2,,,
4,J Jeyaseelan,2,1,0,0,1,2,N,0,35
4,Leon Tan,0,0,1,1,0,2,N,14,0
4,Lee Cheong Cheng,1,1,0,1,0,1,N,1,26
4,Lim Li Wei,1,0,1,0,1,3,N,0,44
4,Tony Sim,1,0,1,1,1,3,N,7,4
4,Shim Yen Nee,1,1,0,0,0,1,N,7,27
4,Andy Kurnia,0,0,0,1,0,3,N,2,30
4,Hubert Wee,2,1,1,0,1,1,N,4,52
4,Lee Guan Hui,2,1,0,0,0,2,N,4,14
4,Cheah Siu Hean,0,0,1,1,1,2,N,13,11
4,Marlon Prudencio,2,0,0,0,1,4,N,6,52
4,Michael Tang,0,1,1,1,0,0,N,4,52
4,Jeremy Khoo,2,1,0,0,1,4,N,1,54
4,Yong Jian Rong,0,0,1,1,0,0,N,0,30
4,Gabriel Cheang,1,0,0,1,1,1,N,4,58
4,Tay Jing En,1,1,1,0,0,3,N,11,42
5,Marlon Prudencio,1,0,0,0,1,3,N,9,12
5,Lee Guan Hui,1,1,1,1,0,1,N,2,18
5,Andy Kurnia,2,0,1,0,0,1,N,0,45
5,Cheah Siu Hean,0,1,0,1,1,3,N,15,12
5,Tay Jing En,2,0,0,0,1,2,N,10,52
5,Michael Tang,0,1,1,1,0,2,N,4,50
5,Hubert Wee,1,1,0,1,1,2,,,
5,Shim Yen Nee,1,0,1,0,0,2,,,
5,Lim Li Wei,1,1,1,0,0,1,Y,1,59
5,Leon Tan,1,0,0,1,1,3,N,9,19
5,Tony Sim,1,1,1,1,0,3,N,3,11
5,Lee Cheong Cheng,1,0,0,0,1,1,N,1,0
5,Yong Jian Rong,1,1,0,0,0,2,N,3,27
5,Gabriel Cheang,1,0,1,1,1,2,N,0,4
5,J Jeyaseelan,0,1,1,1,0,3,N,3,5
5,Jeremy Khoo,2,0,0,0,1,1,Y,0,58
6,Cheah Siu Hean,2,1,0,0,1,2,N,2,30
6,Shim Yen Nee,0,0,1,1,0,2,N,9,0
6,Hubert Wee,1,0,0,0,1,1,,,
6,Lee Cheong Cheng,1,1,1,1,0,3,,,
6,Marlon Prudencio,1,0,0,0,1,3,N,9,59
6,Andy Kurnia,1,1,1,1,0,1,N,1,9
6,Jeremy Khoo,1,0,1,0,0,2,N,8,31
6,Lim Li Wei,1,1,0,1,1,2,N,1,7
6,Tony Sim,2,1,1,0,0,3,N,1,5
6,Leon Tan,0,0,0,1,1,1,N,7,43
6,Tay Jing En,1,0,0,1,0,3,N,9,7
6,Yong Jian Rong,1,1,1,0,1,1,N,6,20
6,Michael Tang,2,0,0,1,0,2,N,6,51
6,Lee Guan Hui,0,1,1,0,1,2,N,5,39
6,J Jeyaseelan,1,0,0,1,1,2,Y,0,44
6,Gabriel Cheang,1,1,1,0,0,2,N,5,41
7,Hubert Wee,0,1,1,1,0,0,,,
7,Leon Tan,2,0,0,0,1,4,,,
7,Marlon Prudencio,1,1,0,1,0,0,N,1,32
7,Shim Yen Nee,1,0,1,0,1,4,N,4,1
7,Cheah Siu Hean,1,1,1,1,0,2,N,11,47
7,Lee Cheong Cheng,1,0,0,0,1,2,N,1,47
7,Yong Jian Rong,2,1,1,0,1,2,,,
7,J Jeyaseelan,0,0,0,1,0,2,,,
7,Tony Sim,1,1,1,0,0,2,N,2,17
7,Jeremy Khoo,1,0,0,1,1,2,Y,0,52
7,Lim Li Wei,1,1,1,0,0,1,N,5,22
7,Gabriel Cheang,1,0,0,1,1,3,Y,0,2
7,Michael Tang,2,0,1,1,1,2,N,3,1
7,Andy Kurnia,0,1,0,0,0,2,N,3,37
7,Tay Jing En,1,0,0,0,1,2,N,9,41
7,Lee Guan Hui,1,1,1,1,0,2,N,4,8
8,Gabriel Cheang,0,1,1,0,1,2,N,10,4
8,Tony Sim,2,0,0,1,0,2,Y,0,36
8,Tay Jing En,1,0,0,0,1,4,N,11,18
8,J Jeyaseelan,1,1,1,1,0,0,N,7,36
8,Hubert Wee,2,1,0,1,0,2,N,3,41
8,Jeremy Khoo,0,0,1,0,1,2,N,3,14
8,Michael Tang,2,1,1,1,0,1,N,1,6
8,Shim Yen Nee,0,0,0,0,1,3,N,11,18
8,Andy Kurnia,2,0,1,1,1,3,Y,1,47
8,Lee Guan Hui,0,1,0,0,0,1,N,7,25
8,Marlon Prudencio,0,0,0,1,1,3,N,4,47
8,Lee Cheong Cheng,2,1,1,0,0,1,Y,0,3
8,Cheah Siu Hean,1,0,1,1,1,1,N,10,0
8,Leon Tan,1,1,0,0,0,3,N,8,0
8,Lim Li Wei,1,1,0,1,1,1,N,1,19
8,Yong Jian Rong,1,0,1,0,0,3,N,2,38
9,Marlon Prudencio,1,0,1,1,1,1,N,3,30
9,Leon Tan,1,1,0,0,0,3,N,14,19
9,Gabriel Cheang,0,1,1,1,1,3,N,13,36
9,Hubert Wee,2,0,0,0,0,1,N,8,42
9,Andy Kurnia,0,0,1,0,1,2,N,9,59
9,Tay Jing En,2,1,0,1,0,2,N,7,39
9,Jeremy Khoo,1,1,1,1,0,2,,,
9,Cheah Siu Hean,1,0,0,0,1,2,,,
9,Michael Tang,1,0,1,0,1,3,N,2,4
9,Lee Cheong Cheng,1,1,0,1,0,1,N,1,31
9,Yong Jian Rong,0,1,1,0,0,2,N,3,20
9,Tony Sim,2,0,0,1,1,2,,0,20
9,Lim Li Wei,2,1,0,1,1,1,N,7,58
9,J Jeyaseelan,0,0,1,0,0,3,Y,0,1
9,Shim Yen Nee,0,1,0,1,0,4,,,
9,Lee Guan Hui,2,0,1,0,1,0,,,
10,Jeremy Khoo,1,1,1,0,1,1,N,0,29
10,Marlon Prudencio,1,0,0,1,0,3,N,0,16
10,Andy Kurnia,1,1,1,1,0,4,N,0,11
10,Shim Yen Nee,1,0,0,0,1,0,N,10,13
10,J Jeyaseelan,2,0,1,0,0,3,Y,0,56
10,Tony Sim,0,1,0,1,1,1,N,0,9
10,Michael Tang,2,0,1,0,1,3,N,2,2
10,Leon Tan,0,1,0,1,0,1,N,6,58
10,Yong Jian Rong,1,1,0,0,0,3,N,13,26
10,Hubert Wee,2,0,1,1,1,1,N,5,0
10,Lim Li Wei,0,0,0,1,0,1,N,1,11
10,Tay Jing En,2,1,1,0,1,3,N,5,6
10,Lee Cheong Cheng,2,0,0,1,1,2,N,0,47
10,Lee Guan Hui,0,1,1,0,0,2,N,2,55
10,Cheah Siu Hean,2,1,0,0,1,4,N,6,41
10,Gabriel Cheang,0,0,1,1,0,0,N,0,34
11,J Jeyaseelan,2,1,1,0,0,3,N,2,25
11,Hubert Wee,0,0,0,1,1,1,N,8,57
11,Michael Tang,2,1,1,0,1,2,N,2,31
11,Jeremy Khoo,0,0,0,1,0,2,N,9,57
11,Shim Yen Nee,2,1,1,0,1,1,N,5,1
11,Tay Jing En,0,0,0,1,0,3,N,9,24
11,Lim Li Wei,2,0,0,0,0,2,Y,1,40
11,Tony Sim,0,1,1,1,1,2,N,0,5
11,Lee Cheong Cheng,1,1,0,1,0,4,N,5,55
11,Andy Kurnia,1,0,1,0,1,0,N,0,12
11,Gabriel Cheang,1,0,1,0,0,2,N,0,6
11,Marlon Prudencio,1,1,0,1,1,2,N,5,24
11,Lee Guan Hui,2,1,1,1,1,2,N,7,44
11,Leon Tan,0,0,0,0,0,2,N,12,41
11,Yong Jian Rong,2,1,1,1,0,2,N,7,4
11,Cheah Siu Hean,0,0,0,0,1,2,N,13,54
12,Lee Cheong Cheng,0,0,0,1,1,2,N,2,22
12,Shim Yen Nee,2,1,1,0,0,2,N,3,53
12,Marlon Prudencio,2,1,1,1,1,1,N,1,25
12,Yong Jian Rong,0,0,0,0,0,3,N,14,15
12,Michael Tang,2,1,0,1,1,2,N,1,42
12,Gabriel Cheang,0,0,1,0,0,2,N,6,53
12,Cheah Siu Hean,1,1,0,1,1,3,N,12,14
12,J Jeyaseelan,1,0,1,0,0,1,N,0,2
12,Tay Jing En,1,1,0,1,0,2,N,4,44
12,Tony Sim,1,0,1,0,1,2,N,0,25
12,Leon Tan,2,0,0,1,1,0,N,11,58
12,Andy Kurnia,0,1,1,0,0,4,N,0,8
12,Hubert Wee,1,0,1,0,1,4,N,9,55
12,Lim Li Wei,1,1,0,1,0,0,N,0,31
12,Jeremy Khoo,1,0,1,1,0,3,N,8,8
12,Lee Guan Hui,1,1,0,0,1,1,N,3,18
13,Yong Jian Rong,1,0,1,1,0,3,N,9,23
13,Michael Tang,1,1,0,0,1,1,N,0,32
13,Shim Yen Nee,1,1,0,0,0,1,N,1,30
13,Leon Tan,1,0,1,1,1,3,N,10,8
13,Cheah Siu Hean,1,1,1,1,0,2,N,15,52
13,Lim Li Wei,1,0,0,0,1,2,Y,1,5
13,Gabriel Cheang,0,1,0,0,0,2,N,8,46
13,Lee Guan Hui,2,0,1,1,1,2,N,1,4
13,Lee Cheong Cheng,1,1,1,1,1,2,N,9,32
13,Tay Jing En,1,0,0,0,0,2,N,10,46
13,Jeremy Khoo,1,0,1,0,1,3,N,7,55
13,Andy Kurnia,1,1,0,1,0,1,N,2,41
13,Hubert Wee,1,0,0,1,1,2,N,0,34
13,Yong Jian Rong,1,1,1,0,0,2,N,10,47
13,Marlon Prudencio,1,0,1,1,1,3,N,0,26
13,J Jeyaseelan,1,1,0,0,0,1,N,0,5
15,Hubert Wee,2,1,1,1,1,3,N,4,8
15,Cheah Siu Hean,0,0,0,0,0,1,N,15,8
14,Tony Sim,2,1,1,1,1,1,N,0,16
14,Cheah Siu Hean,0,0,0,0,0,3,N,11,33
14,Gabriel Cheang,2,0,1,0,1,3,N,3,30
14,Andy Kurnia,0,1,0,1,0,1,N,4,25
14,J Jeyaseelan,,0,1,0,0,1,Y,1,0
14,Michael Tang,,1,0,1,1,3,N,5,12
14,Lim Li Wei,1,0,0,1,0,2,N,4,37
14,Marlon Prudencio,1,1,1,0,1,2,N,0,3
14,Shim Yen Nee,2,0,0,1,0,3,N,5,9
14,Jeremy Khoo,0,1,1,0,1,1,N,5,4
14,Lee Guan Hui,1,0,0,0,0,2,,,
14,Yong Jian Rong,1,1,1,1,1,2,,,
14,Hubert Wee,1,1,0,0,1,2,N,7,0
14,Tay Jing En,1,0,1,1,0,2,N,4,29
14,Leon Tan,2,0,0,0,1,4,N,12,38
14,Lee Cheong Cheng,0,1,1,1,0,0,N,2,58
15,Marlon Prudencio,1,1,1,0,1,3,N,1,14
15,Tony Sim,1,0,0,1,0,1,N,0,34
15,Lee Guan Hui,2,1,0,1,1,1,N,1,59
15,J Jeyaseelan,0,0,1,0,0,3,N,9,25
15,Leon Tan,1,1,1,1,0,2,N,7,38
15,Tay Jing En,1,0,0,0,1,2,N,6,7
15,Shim Yen Nee,2,0,0,0,0,2,N,8,34
15,Gabriel Cheang,0,1,1,1,1,2,N,0,43
15,Jeremy Khoo,2,0,0,1,1,4,N,1,8
15,Lee Cheong Cheng,1,1,0,0,0,0,N,1,44
15,Andy Kurnia,2,1,0,1,1,1,N,4,58
15,Yong Jian Rong,1,0,1,0,0,3,N,15,19
15,Lim Li Wei,1,1,1,1,0,2,N,0,51
15,Michael Tang,1,0,0,0,1,2,N,0,12
16,Andy Kurnia,2,1,0,1,1,2,N,0,11
16,Yong Jian Rong,0,0,1,0,0,2,N,4,19
16,Marlon Prudencio,0,0,1,0,0,2,N,2,23
16,Lim Li Wei,2,1,0,1,1,2,N,0,23
16,Michael Tang,1,0,0,1,1,2,N,0,52
16,Hubert Wee,1,1,1,0,0,2,N,0,5
16,Tay Jing En,2,0,1,1,1,2,N,5,8
16,Jeremy Khoo,0,1,0,0,0,2,N,0,21
16,Gabriel Cheang,1,0,0,1,0,2,N,9,47
16,J Jeyaseelan,1,1,1,0,1,2,N,0,5
16,Lee Guan Hui,1,0,1,1,1,1,N,1,30
16,Shim Yen Nee,1,1,0,0,0,3,N,0,6
16,Tony Sim,2,1,0,1,0,2,N,1,33
16,Cheah Siu Hean,0,0,1,0,1,2,N,17,4
16,Lee Cheong Cheng,1,1,0,1,1,2,N,0,12
16,Leon Tan,1,0,1,0,0,2,N,10,56
17,Tony Sim,2,1,0,0,1,3,Y,2,16
17,Cheah Siu Hean,0,0,1,1,0,1,N,12,21
17,Hubert Wee,1,1,1,0,0,2,N,7,35
17,Lim Li Wei,1,0,0,1,1,2,N,4,36
17,Yong Jian Rong,2,1,1,1,0,2,N,14,24
17,Lim Li Wei,0,0,0,0,1,2,N,2,48
17,Marlon Prudencio,1,0,1,1,1,1,,,
17,Michael Tang,1,1,0,0,0,3,,,
17,Tay Jing En,1,1,0,1,1,2,N,9,30
17,Jeremy Khoo,1,0,1,0,0,2,N,0,3
17,Lee Guan Hui,0,1,1,1,1,0,N,2,44
17,Lee Cheong Cheng,2,0,0,0,0,4,N,1,47
17,Shim Yen Nee,1,1,1,0,1,2,N,1,19
17,Leon Tan,1,0,0,1,0,2,N,9,0
17,Andy Kurnia,1,1,1,1,1,2,N,4,25
17,Gabriel Cheang,1,0,0,0,0,2,N,1,22
18,Yong Jian Rong,1,1,1,1,1,2,N,12,35
18,Marlon Prudencio,1,0,0,0,0,2,N,3,0
18,Tay Jing En,1,1,1,0,0,3,N,13,40
18,Gabriel Cheang,1,0,0,1,1,1,N,3,39
18,Lee Cheong Cheng,2,0,1,0,1,2,N,0,17
18,Leon Tan,0,1,0,1,0,2,N,10,52
18,Lee Guan Hui,0,0,1,1,1,4,N,3,18
18,Tony Sim,2,1,0,0,0,0,N,0,59
18,Shim Yen Nee,1,0,0,0,1,3,N,0,25
18,Cheah Siu Hean,1,1,1,1,0,1,N,13,56
18,Michael Tang,2,1,0,1,0,1,N,7,39
18,Hubert Wee,0,0,1,0,1,3,N,3,12
18,Andy Kurnia,1,1,0,0,1,2,N,0,18
18,Lim Li Wei,1,0,1,1,0,2,N,1,51
18,Jeremy Khoo,0,0,0,1,1,2,N,3,57
18,J Jeyaseelan,2,1,1,0,0,2,N,2,10
